"Page","Impressions","Clicks","CTR","Avg. Position"
"https://estudiodefotografia.info/documentos-de-identidad/tamano-carnet-medidas/","3837","15","0.39%","6.8527511597602295"
"https://estudiodefotografia.info/inapropiado/mujer-sin-ropa-fotos/","1590","69","4.34%","8.159743207547168"
"https://estudiodefotografia.info/consejos/que-es-un-archivo-nef-y-como-abrir-uno/","1455","2","0.14%","4.548457800687285"
"https://estudiodefotografia.info/conceptos-basicos/que-son-los-filtros-nd-cuando-y-como-usarlos/","820","12","1.46%","4.449999146341464"
"https://estudiodefotografia.info/composicion/pie-de-foto-ejemplos/","771","16","2.08%","4.805441374837872"
"https://estudiodefotografia.info/conceptos-basicos/que-tan-grande-es-una-foto-de-4-x-6-tamano-real-en-pixeles-pulgadas-cm-y-mm/","770","22","2.86%","3.650651168831169"
"https://estudiodefotografia.info/conceptos-basicos/que-es-imgbb-y-como-usarlo-para-alojamiento-de-imagenes-gratuito/","607","5","0.8200000000000001%","8.967055024711696"
"https://estudiodefotografia.info/conceptos-basicos/que-es-el-obturador/","600","2","0.33%","5.608330833333333"
"https://estudiodefotografia.info/conceptos-basicos/shutter-significado/","523","3","0.5700000000000001%","4.707449330783939"
"https://estudiodefotografia.info/inspiracion/que-es-un-ensayo-fotografico-17-ejemplos-e-ideas/","498","31","6.22%","3.8032134538152618"
"https://estudiodefotografia.info/post-produccion/que-es-adobe-camera-raw-y-como-empezar/","448","7","1.56%","3.962054017857143"
"https://estudiodefotografia.info/edicion-digital/digitalizar-imagenes/","364","9","2.47%","5.167591758241758"
"https://estudiodefotografia.info/retrato/las-25-mejores-poses-masculinas-guia-para-fotografiar-hombres/","324","8","2.47%","4.660489197530864"
"https://estudiodefotografia.info/conceptos-basicos/comprender-la-resolucion-de-la-camara-y-los-megapixeles-guia-facil/","244","4","1.6400000000000001%","5.5696954918032775"
"https://estudiodefotografia.info/conceptos-basicos/que-es-el-paneo-como-usarlo-para-fotografiar-movimiento/","227","4","1.76%","4.726852422907489"
"https://estudiodefotografia.info/software/adobe-rueda-de-color/","214","1","0.47000000000000003%","6.219621495327103"
"https://estudiodefotografia.info/conceptos-basicos/que-es-una-lente-gran-angular-y-cuando-usar-una/","200","2","1%","3.4100025"
"https://estudiodefotografia.info/ilustraciones/poses-dibujo-mujer/","125","0","0%","4.2799912"
"https://estudiodefotografia.info/post-produccion/que-es-un-archivo-cr3-y-como-abrir-uno/","114","4","3.5100000000000002%","2.833321929824561"
"https://estudiodefotografia.info/documentos-de-identidad/que-es-una-ortofoto/","88","1","1.1400000000000001%","7.920456818181819"
"https://estudiodefotografia.info/humor/foto-perfil-graciosa/","86","0","0%","5.046503488372093"
"https://estudiodefotografia.info/conceptos-basicos/que-es-un-archivo-arw-y-como-abrir-uno/","80","3","3.75%","3.17499125"
"https://estudiodefotografia.info/consejos/los-12-lugares-mas-iconicos-del-mundo-para-fotografiar/","75","0","0%","6.106658666666666"
"https://estudiodefotografia.info/localizaciones/las-mejores-configuraciones-de-fotografia-nocturna-para-usar/","72","0","0%","9.36111111111111"
"https://estudiodefotografia.info/post-produccion/como-configurar-y-vaciar-discos-temporales-en-adobe-photoshop/","65","0","0%","7.307690769230769"
"https://estudiodefotografia.info/software/capture-one-gratis/","64","7","10.94%","4.203140625"
"https://estudiodefotografia.info/tutoriales-de-fotografia/comprension-de-iso-velocidad-de-obturacion-y-apertura-una-guia-para-principiantes/","63","4","6.3500000000000005%","4.539693650793651"
"https://estudiodefotografia.info/conceptos-basicos/formato-16-9-pixeles/","62","0","0%","7.370975806451613"
"https://estudiodefotografia.info/artesania/que-es-daguerrotipo/","60","1","1.67%","6.933345"
"https://estudiodefotografia.info/conceptos-basicos/guia-para-principiantes-de-lentes-de-camara-partes-funciones-y-tipos/","58","5","8.620000000000001%","4.500012068965517"
"https://estudiodefotografia.info/tecnologia/instalar-photoshop/","56","1","1.79%","5.392835714285715"
"https://estudiodefotografia.info/moda/hombres-sin-camiseta/","51","0","0%","9.39213725490196"
"https://estudiodefotografia.info/accesorios-de-fotografia/registrar-dron-dji/","48","2","4.17%","4.979177083333333"
"https://estudiodefotografia.info/conceptos-basicos/cuestionario-fotografico-ponga-a-prueba-sus-conocimientos-fotograficos/","43","0","0%","6.395300000000001"
"https://estudiodefotografia.info/fotografia-de-hombres/hombres-gay-musculoso/","42","1","2.38%","6.738104761904762"
"https://estudiodefotografia.info/paisaje-naturaleza/paisajes-con-lineas/","42","1","2.38%","7.166671428571429"
"https://estudiodefotografia.info/conceptos-basicos/como-tomar-buenas-fotografias-10-pasos-infalibles/","40","3","7.5%","6.024992500000001"
"https://estudiodefotografia.info/inspiracion/los-25-fotografos-deportivos-mas-influyentes-a-seguir/","39","2","5.13%","3.1025846153846155"
